epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,3419.12,0.88358,0.81614,1.17601,0.72808,0.83168,0.80945,0.55374,1.05387,1.01474,1.37298,0.0009308,0.0009308,0.0009308
29,3533.26,0.8441,0.97737,1.13231,0.78676,0.77228,0.83099,0.58981,0.99526,0.92912,1.28235,0.0008912,0.0008912,0.0008912
30,3651.41,0.84989,0.78392,1.13242,0.80664,0.78218,0.84909,0.58958,1.01101,0.9435,1.30785,0.0008516,0.0008516,0.0008516
31,3778.92,0.83343,0.75456,1.11818,0.77487,0.78383,0.83481,0.55147,1.05821,0.95536,1.36165,0.000812,0.000812,0.000812
32,3911.41,0.86143,0.81045,1.16374,0.85478,0.76238,0.85334,0.58841,1.03228,0.94245,1.34204,0.0007724,0.0007724,0.0007724
33,4032.17,0.83021,0.76334,1.17004,0.77769,0.84158,0.83864,0.57268,1.01404,0.8896,1.30835,0.0007328,0.0007328,0.0007328
34,4149.98,0.77181,0.7127,1.10842,0.8469,0.80198,0.84066,0.57562,1.02531,0.88449,1.31045,0.0006932,0.0006932,0.0006932
35,4267.63,0.77651,0.68228,1.09714,0.84197,0.83168,0.84638,0.58062,1.0341,0.85565,1.28681,0.0006536,0.0006536,0.0006536
36,4385.74,0.8175,0.73529,1.16356,0.82166,0.82178,0.8428,0.58068,1.02703,0.83588,1.3,0.000614,0.000614,0.000614
37,4506.21,0.79501,0.72597,1.12973,0.84927,0.83684,0.86574,0.60182,0.9911,0.80947,1.29131,0.0005744,0.0005744,0.0005744
38,4627.45,0.77881,0.69629,1.10516,0.83494,0.85144,0.85051,0.59462,0.94112,0.83373,1.24551,0.0005348,0.0005348,0.0005348
39,4778.12,0.72337,0.64383,1.10241,0.81689,0.80198,0.83959,0.59791,0.98964,0.83318,1.28784,0.0004952,0.0004952,0.0004952
40,4911.61,0.74583,0.64201,1.07636,0.82087,0.81188,0.82437,0.58989,0.99332,0.80845,1.31895,0.0004556,0.0004556,0.0004556
41,5037.99,0.69363,0.69078,1.06589,0.82926,0.82178,0.82133,0.58962,0.99084,0.83739,1.31905,0.000416,0.000416,0.000416
42,5177.68,0.68604,0.62664,1.04513,0.85778,0.77631,0.82411,0.57487,0.95982,0.85555,1.32517,0.0003764,0.0003764,0.0003764
43,5321.05,0.61751,0.57346,1.02302,0.84389,0.78218,0.8431,0.60202,0.97237,0.81929,1.32213,0.0003368,0.0003368,0.0003368
44,5452.28,0.61626,0.55887,1.00549,0.86799,0.78218,0.8467,0.60637,0.94896,0.78863,1.30113,0.0002972,0.0002972,0.0002972
45,5579.56,0.58306,0.73053,0.96234,0.84199,0.78218,0.83597,0.60709,0.92774,0.84622,1.27341,0.0002576,0.0002576,0.0002576
46,5715.1,0.6281,0.57199,1.01519,0.83445,0.80198,0.81994,0.58621,0.95408,0.85095,1.29594,0.000218,0.000218,0.000218
47,5851.95,0.64436,0.54559,1.04088,0.84687,0.82133,0.82655,0.58124,0.9403,0.83395,1.28484,0.0001784,0.0001784,0.0001784
48,5990.4,0.58591,0.51658,0.98559,0.81177,0.83168,0.84309,0.60543,0.91658,0.79449,1.26627,0.0001388,0.0001388,0.0001388
49,6128.77,0.58863,0.50591,0.99129,0.81108,0.85018,0.84483,0.60727,0.89192,0.78413,1.23421,9.92e-05,9.92e-05,9.92e-05
50,6268.05,0.54002,0.46794,0.97324,0.81811,0.84613,0.84987,0.61786,0.88654,0.76817,1.219,5.96e-05,5.96e-05,5.96e-05
